key;en;de
TISM_0011_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0011_PROMPT;The heart of music lies in its power to create togetherness;Das Herzstück der Musik liegt in ihrer Kraft, Zusammengehörigkeit zu schaffen
TISM_0012_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0012_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0012_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0012_CHOICE4;Agree;Stimme eher zu
TISM_0012_CHOICE5;Strongly agree;Stimme zu
TISM_0012_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0012_PROMPT;I find background music pleasant when socialising;Ich finde Hintergrundmusik angenehm, wenn ich unter Leute gehe
TISM_0013_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0013_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0013_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0013_CHOICE4;Agree;Stimme eher zu
TISM_0013_CHOICE5;Strongly agree;Stimme zu
TISM_0013_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0013_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0013_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0013_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0013_CHOICE4;Agree;Stimme eher zu
TISM_0013_CHOICE5;Strongly agree;Stimme zu
TISM_0013_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0013_PROMPT;Listening to music with friends enhances the enjoyment;Mit Freunden Musik zu hören, steigert den Genuss
TISM_0014_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0014_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0014_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0014_CHOICE4;Agree;Stimme eher zu
TISM_0014_CHOICE5;Strongly agree;Stimme zu
TISM_0014_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0014_PROMPT;For me, music is a social experience;Für mich ist Musik ein soziales Erlebnis
TISM_0015_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0015_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0015_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0015_CHOICE4;Agree;Stimme eher zu
TISM_0015_CHOICE5;Strongly agree;Stimme zu
TISM_0015_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0015_PROMPT;I value the social connection of music as much as the music itself;Ich schätze die soziale Verbindung durch Musik genauso sehr wie die Musik selbst
TISM_0016_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0016_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0016_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0016_CHOICE4;Agree;Stimme eher zu
TISM_0016_CHOICE5;Strongly agree;Stimme zu
TISM_0016_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0016_PROMPT;I find music more enjoyable when my friends are with me;Ich genieße Musik mehr, wenn meine Freunde dabei sind
TISM_0017_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0017_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0017_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0017_CHOICE4;Agree;Stimme eher zu
TISM_0017_CHOICE5;Strongly agree;Stimme zu
TISM_0017_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0017_PROMPT;I often seek opportunities to listen to music with others;Ich suche oft nach Gelegenheiten, gemeinsam mit anderen Musik zu hören
TISM_0018_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0018_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0018_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0018_CHOICE4;Agree;Stimme eher zu
TISM_0018_CHOICE5;Strongly agree;Stimme zu
TISM_0018_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0018_PROMPT;Music with friends creates lasting memories;Musik mit Freunden schafft bleibende Erinnerungen
