key;de;de_f;en;it;es;lv
TDEG_0004_CHOICE3;divers;divers;diverse;Altro;Otro;cits
TDEG_0004_CHOICE4;möchte ich nicht sagen;möchte ich nicht sagen;rather not say;Preferisco non dichiarare;Prefiero no declarar;nevēlos atbildēt
TDEG_0004_PROMPT;Ich bin;Welchem Geschlecht ordnen Sie sich zu?;What is your gender?;Qual è il tuo genere?;¿Cuál es tú género?;Kāds ir Tavs dzimums?
TDEG_0005_CHOICE1;geboren;geboren;years;Anni;Años;gadi
TDEG_0005_PROMPT;Ich bin;Ich bin;What is your age?;Qual è la tua età?;¿Cuál es tú edad?;Kāds ir Tavs vecums?
TDEG_0006_PROMPT;Was ist deine Nationalität/Staatsangehörigkeit? (In welchem Land hast du deinen Pass?);Was ist Ihre Nationalität/Staatsangehörigkeit? (In welchem Land haben Sie Ihren Pass?);What is your nationality?;Qual è la tua nazionalità?;¿Cuál es tú nacionalidad?;Kāda ir Tava tautība?
TDEG_0007_PROMPT;In welchem Land hast du die meiste Zeit deines Lebens verbracht?;In welchem Land haben Sie die meiste Zeit Ihres Lebens verbracht?;In which country have you spent most years of your life?;In quale nazione hai trascorso la maggior parte della tua vita?;¿En qué país has pasado la mayor parte de tu vida?;Kurā valstī Tu esi pavadījis savas dzīves lielāko daļu?
TDEG_0008_PROMPT;Was ist deine Muttersprache? (Welche Sprache sprichst du zu Hause?);Was ist Ihre (erste) Muttersprache?;What is your first language?;Qual è la tua lingua madre?;¿Cuál es tú lengua materna?;Kāda ir Tava dzimtā valoda?
TDEG_0009_PROMPT;Sprichst du noch eine andere Sprache in deinem Alltag?;Haben Sie noch eine zweite Muttersprache?;What is your second language that is also spoken at home (if you have one)?;Qual è la tua seconda lingua parlata anche in casa (se ce l’hai)?;¿Cuál es tu segundo idioma que también se habla en casa (si hay)?;Kādā vēl valodā Tu ikdienā komunicē?
TDEG_0010_PROMPT;In welchem Monat und Jahr wurdest du geboren?;In welchem Monat und Jahr wurden Sie geboren?;When were you born?;Dove sei nato/a?;¿Dónde naciste?;Kad Tu esi piedzimis?
TDEG_0011_CHOICE1;rechtshändig;rechtshändig;right-handed;Destrorso/a;Diestro/a;labrocis
TDEG_0011_CHOICE2;linkshändig;linkshändig;left-handed;Mancino/a;Zurdo/a;kreilis
TDEG_0011_CHOICE3;beidhändig;beidhändig;ambidextrous (use both hands equally);Ambidestro/a (uso entrambe le mani allo stesso modo);Ambidiestro/a (uso ambas manos del mismo modo);abrocis (vienlīdz labi darbojies gan ar labo, gan ar kreiso roku)
TDEG_0011_PROMPT;Bist Du eher ;Sind Sie eher ;Are you ;Sei;Eres;Vai Tu esi
TDEG_0012_CHOICE1;mit der rechten;mit der rechten;the right hand;La mano destra;La mano derecha;ar labo roku
TDEG_0012_CHOICE2;mit der linken;mit der linken;the left hand;La mano sinistra;La mano izquierda;ar kreiso roku
TDEG_0012_CHOICE3;mit beiden;mit beiden;both hands equally;Entrambe le mani allo stesso modo;Ambas manos del mismo modo;rakstu ar abām rokām vienādi
TDEG_0012_PROMPT;Mit welcher Hand schreibst Du am besten?;Mit welcher Hand schreiben Sie am besten?;Which hand do you normally use for writing?;Quale mano usi normalmente per scrivere?;¿Qué mano usas normalmente para escribir?;Ar kādu roku Tu parasti raksti?
TDEG_0013_PROMPT;In welchem Land wohnst du?;In welchem Land wohnen Sie?;What is your country of residence?;Qual è il suo paese di residenza?;¿Cuál es su país de residencia?;Kurā valstī Jūs dzīvojat?
TDEG_0014_CHOICE1;Berufsausbildung, Fachoberschule;Berufsausbildung, Fachhochschule, Fachoberschule;Trade certificate, diploma, or apprenticeship;Trade certificate, diploma, or apprenticeship;Trade certificate, diploma, or apprenticeship;Arodizglītība, vidējā profesionālā izglītība
TDEG_0014_CHOICE2;Abitur, Fachhochschuldiplom oder Bachelor;Abitur, Fachhochschuldiplom oder Bachelor;University bachelor degree (e.g., BS or BA with or without honours);University bachelor degree (e.g., BS or BA with or without honours);University bachelor degree (e.g., BS or BA with or without honours);Augstākā izglītība, t.sk. bakalaura grāds
TDEG_0014_CHOICE3;Weiterführender Hochschulabschluss (z.B., Diplom, MA, Dr.);Hochschulabschluss (MA, MS, Dr.);University postgraduate qualification (e.g., MA, MS, PhD);University postgraduate qualification (e.g., MA, MS, PhD);University postgraduate qualification (e.g., MA, MS, PhD);Maģistra vai doktora grāds
TDEG_0014_CHOICE4;Keiner der obigen;Keiner der obigen;None of the above;None of the above;None of the above;Neviens no augšminētajiem
TDEG_0014_PROMPT;Was ist dein höchster Bildungsabschluss?;Was ist Ihr höchster Bildungsabschluss?;What is the highest level of qualification that you have ever completed?;What is the highest level of qualification that you have ever completed?;What is the highest level of qualification that you have ever completed?;Kāds ir Jūsu kvalifikācijas augstākais līmenis?
TDEG_0015_CHOICE1;Ja;Ja;Yes;Sì;Sí;Jā
TDEG_0015_CHOICE2;Nein;Nein;No;No;No;Nē
TDEG_0015_PROMPT;Hast du derzeit eine bezahlte Arbeit?;Haben Sie derzeit eine bezahlte Arbeit?;Are you currently in paid employment?;Are you currently in paid employment?;Are you currently in paid employment?;Vai Jūs pašlaik strādājat algotu darbu?
TDEG_0016_CHOICE1;Mit am schlechtesten;Mit am schlechtesten;Among the worst;Among the worst;Among the worst;Ļoti slikti
TDEG_0016_CHOICE2;Viel schlechter als durchschnittlich;Viel schlechter als durchschnittlich;Much worse than average;Much worse than average;Much worse than average;Daudz sliktāk nekā vidēji
TDEG_0016_CHOICE3;Schlechter als durchschnittlich;Schlechter als der Durchschnitt;Worse than average;Worse than average;Worse than average;Sliktāk nekā vidēji
TDEG_0016_CHOICE4;Durchschnittlich;Durchschnittlich;Average;Average;Average;Vidēji
TDEG_0016_CHOICE5;Besser als durchschnittlich;Besser als durchschnittlich;Better than average;Better than average;Better than average;Labāk nekā vidēji
TDEG_0016_CHOICE6;Viel besser als durchschnittlich;Viel besser als durchschnittlich;Much better than average;Much better than average;Much better than average;Daudz labāk nekā vidēji
TDEG_0016_CHOICE7;Mit am besten;Mit am besten;Among the best;Among the best;Among the best;Ļoti labi
TDEG_0016_PROMPT;Deiner Meinung nach, wie sind deine Lebensumstände im Vergleich zu anderen?;Ihrer Meinung nach, wie gut sind Ihre Lebensumstände im Vergleich zu anderen?;In your opinion, how good are your life circumstances compared to others?;In your opinion, how good are your life circumstances compared to others?;In your opinion, how good are your life circumstances compared to others?;Cik labi ir Jūsu dzīves apstākļi, salīdzinot ar citiem?
TDEG_0017_CHOICE1;Sicher nicht;Sicher nicht;Certainly not;Certainly not;Certainly not;Noteikti nē
TDEG_0017_CHOICE2;Wahrscheinlich nicht;Wahrscheinlich nicht;Probably not;Probably not;Probably not;Iespējams, nē
TDEG_0017_CHOICE3;Wahrscheinlich ja;Wahrscheinlich ja;Probably yes;Probably yes;Probably yes;Iespējams, jā
TDEG_0017_CHOICE4;Sicher ja;Sicher ja;Certainly yes;Certainly yes;Certainly yes;Noteikti jā
TDEG_0017_PROMPT;Könntest du 1.500 Euro auftreiben, falls im nächsten Monat eine unerwartete Ausgabe anstünde?;Könnten Sie 1.500 Euro auftreiben, falls im nächsten Monat eine unerwartete Ausgabe anstünde?;Could you come up with $1,400 USD/GBP (1,800 SGD/ 2,000 AUD) if an unexpected need arose within the next month?;Could you come up with $2,000 AUD (1,800 SGD/ 1,400 USD) if an unexpected need arose within the next month?;Could you come up with $1,400 USD/GBP (2,000 AUD)  if an unexpected need arose within the next month?;Vai jūs varētu iztikt ar 1500 eiro, ja nākamajā mēnesī rastos neparedzēti izdevumi?
TDEG_0018_CHOICE1;Professionell;Professionell;Professional;Professional;Professional;Profesionālis
TDEG_0018_CHOICE2;Semi-Professionell;Semi-Professionell;Semi-professional;Semi-professional;Semi-professional;Uzskatu sevi par daļēju profesionāli, piemēram, esmu mācījies mūzikas skolā, taču iztikas avots nav muzicēšana
TDEG_0018_CHOICE3;Begeisteter Amateur;Begeisteter Amateur;Amateur;Amateur;Amateur;Mūzikas mīļotājs / amatieris
TDEG_0018_CHOICE4;Gelegenheitsmusiker;Gelegenheitsmusiker;Occasional;Occasional;Occasional;Laiku pa laikam nodarbojos ar mūziku savam vaļaspriekam
TDEG_0018_CHOICE5;Spiele kaum;Spiele kaum;Hardly ever play;Hardly ever play;Hardly ever play;Gandrīz vai nenodarbojos ar mūziku
TDEG_0018_CHOICE6;Noch nie Musik gemacht;Noch nie Musik gemacht;Have never played;Have never played;Have never played;Nekad neesmu nodarbojies ar mūziku
TDEG_0018_PROMPT;Was ist dein musikalisches Selbstverständnis?;Was ist Ihr musikalisches Selbstverständnis?;Please select your level of music proficiency.;Please select your level of music proficiency.;Please select your level of music proficiency.;"Lūdzu, atzīmējiet savu muzikālo spēju līmeni"
TDEG_0019_CHOICE1;Vollzeit;Vollzeit;Full-time;Tempo pieno;A tiempo completo;Pilna laika 
TDEG_0019_CHOICE2;Teilzeit;Teilzeit;Part-time;Tempo parziale;A tiempo parcial;Daļējs darba laiks
TDEG_0019_CHOICE3;Elternzeit;Elternzeit;Parental leave;Congedo parentale;Permiso parental;Vecāku atvaļinājums 
TDEG_0019_CHOICE4;Freiberuflich;Freiberuflich;Freelancer;Freelancer;Autónomo;Ārštata darbinieks
TDEG_0019_CHOICE5;Ausbildung;Ausbildung;Vocational Training;Apprendistato;Aprendizaje;Profesionālā apmācība
TDEG_0019_CHOICE6;Studium;Studium;Study;Studio;Estudiar;Pētījums
TDEG_0019_CHOICE7;Keine Erwerbstätigkeit;Keine Erwerbstätigkeit;No employment;Nessuna attività lavorativa;Sin empleo remunerado;Bez algota darba
TDEG_0019_PROMPT;Wie ist deine Erwerbstätigkeit?;Wie ist Ihre Erwerbstätigkeit?;What is your employment status?;Qual è il suo status occupazionale?;¿Cuál es su situación laboral?;Kāds ir jūsu nodarbinātības statuss?
TDEG_0020_CHOICE1;Besuche derzeit eine allgemeinbildende Vollzeitschule;Besuche derzeit eine allgemeinbildende Vollzeitschule;Currently attending a full-time general education school;Attualmente frequento una scuola di formazione generale a tempo pieno.;Actualmente estudio en un centro de enseñanza general a tiempo completo.;Pašlaik es esmu skolēns, kas mācās pilna laika vispārizglītojošā skolā.
TDEG_0020_CHOICE2;Ohne Schulabschluss;Ohne Schulabschluss;Without a secondary general school certificate;Ho lasciato la scuola senza un diploma di scuola secondaria generale.;Dejé la escuela sin un certificado de educación secundaria general.;Es pametu skolu bez vispārējās vidējās izglītības sertifikāta. 
TDEG_0020_CHOICE3;Hauptschulabschluss;Hauptschulabschluss;Secondary general school certificate;Ho un diploma di scuola secondaria di primo grado.;Tengo un certificado de estudios secundarios generales.;Man ir vispārējās vidējās izglītības sertifikāts. 
TDEG_0020_CHOICE4;Realschulabschluss;Realschulabschluss;Secondary school certificate;Ho un diploma di scuola secondaria di secondo grado.;Tengo un certificado de estudios secundarios.;Man ir vidusskolas atestāts. 
TDEG_0020_CHOICE5;Fachhochschulreife;Fachhochschulreife;Technical college entrance qualification;Sono in possesso di un titolo di studio di istituto tecnico.;Tengo un título de acceso a la enseñanza técnica superior.;Man ir tehniskā koledžas iestājdokuments.
TDEG_0020_CHOICE6;Allgemeine Hochschulreife (Abitur);Allgemeine Hochschulreife (Abitur);General higher education entrance qualification;Ho un titolo di studio generale per l'istruzione superiore.;Tengo un título general de acceso a la enseñanza superior.;Man ir vispārējās augstākās izglītības iestājeksāmens.
TDEG_0020_PROMPT;Welchen höchsten allgemeinbildenden Schulabschluss hast du?;Welchen höchsten allgemeinbildenden Schulabschluss haben Sie?;What is your highest general school-leaving qualification?;Qual è il suo titolo di studio generale più elevato?;¿Cuál es su titulación general de bachillerato más alta?;Kāda ir jūsu augstākā vispārējā skolas beigšanas kvalifikācija? 
TDEG_0021_CHOICE1;Keinen beruflichen Abschluss und  nicht in  Ausbildung.;Keinen beruflichen Abschluss und  nicht in  Ausbildung.;No vocational qualification and not in training.;Non ho una qualifica professionale e non sono in formazione professionale.;No tengo título de formación profesional y no estoy cursando formación profesional.;Man nav profesionālās kvalifikācijas un es neapmeklēju profesionālo apmācību. 
TDEG_0021_CHOICE2;"Noch in  Ausbildung oder Studium";"Noch in  Ausbildung oder Studium";"Still in vocational training or studying ";"Ancora in formazione professionale; apprendista, studente ";"Sigo en formación profesional; aprendiz, estudiante ";"Joprojām mācos arodmācībās; praktikants, students. "
TDEG_0021_CHOICE3;Berufliche Ausbildung.;Berufliche Ausbildung abgeschlossen.;Vocational training;Formazione professionale completata presso un'azienda o una scuola professionale.;Formación profesional completa en una empresa o escuela de formación profesional.;Pabeigta profesionālā apmācība uzņēmumā vai profesionālajā skolā. 
TDEG_0021_CHOICE4;Bachelor;Bachelor;Bachelor's degree;Laurea triennale presso un'università (tecnica);Licenciatura en una universidad (técnica);Bakalaura grāds (tehniskajā) augstskolā.
TDEG_0021_CHOICE5;Master/Staatsexamen/Diplom;Master/Staatsexamen/Diplom;Master's degree/state examination/diploma;Laurea specialistica/esame di stato/diploma conseguito presso un'università (tecnica);Máster/examen de Estado/diploma completado en una universidad (técnica);Maģistra grāds/valsts eksāmens/diploms, kas iegūts (tehniskajā) augstskolā.
TDEG_0021_CHOICE6;Promotion;Promotion;Doctorate;Dottorato di ricerca;Doctorado;Doktora grāds 
TDEG_0021_PROMPT;Welchen höchsten beruflichen Ausbildungsabschluss hast du?;Welchen höchsten beruflichen Ausbildungsabschluss haben Sie?;What is your highest vocational qualification?;Qual è la sua più alta qualifica professionale?;¿Cuál es su cualificación profesional más alta?;Kāda ir jūsu augstākā profesionālā kvalifikācija? 
TDEG_0022_CHOICE1;Ja;Ja;Yes;Si;Si;Jā 
TDEG_0022_CHOICE2;Nein;Nein;No;No;No;Nē 
TDEG_0022_PROMPT;Wurdest Du in diesem Land geboren?;Wurden Sie in diesem Land geboren?;Were you born in this country?;Sei nato in questo paese?;¿Ha nacido en este país?;Vai esat dzimis šajā valstī?
